order,list,item,condition,target_notional_num,competitor_num,ambiguity,target,competitor,target ID,targetPos,compPos,comp2Pos,destPos,locPhrase,sentence,firstDisplay,secondDisplay,expTrials
25,2,X16,9,,,,,,,5,,,6,,There is a croissant on number 5.,X16_9_1.jpg,X16_9_2.jpg,N
25,3,X16,9,,,,,,,5,,,6,,There is a croissant on number 5.,X16_9_1.jpg,X16_9_2.jpg,N
25,4,X16,9,,,,,,,5,,,6,,There is a croissant on number 5.,X16_9_1.jpg,X16_9_2.jpg,N
26,1,7,2,1,2,ambiguous,trousers,books,3,4,1,,6,below,The trousers below the books are on number 4.,E07_2_1.jpg,E07_2_2.jpg,Y
26,2,7,3,2,1,unambiguous,trousers,book,3,4,1,,6,below,The trousers below the book are on number 4.,E07_3_1.jpg,E07_3_2.jpg,Y
26,3,7,4,2,2,ambiguous,trousers,books,3,4,1,,6,below,The trousers below the books are on number 4.,E07_4_1.jpg,E07_4_2.jpg,Y
26,4,7,1,1,1,unambiguous,trousers,book,3,4,1,,6,below,The trousers below the book are on number 4.,E07_1_1.jpg,E07_1_2.jpg,Y
27,1,X40,9,,,,,,,1,4,,2,above,"There is a swing above the thief, and it is on number 1.",X40_9_1.jpg,X40_9_2.jpg,N
27,2,X40,9,,,,,,,1,4,,2,above,"There is a swing above the thief, and it is on number 1.",X40_9_1.jpg,X40_9_2.jpg,N
27,3,X40,9,,,,,,,1,4,,2,above,"There is a swing above the thief, and it is on number 1.",X40_9_1.jpg,X40_9_2.jpg,N
27,4,X40,9,,,,,,,1,4,,2,above,"There is a swing above the thief, and it is on number 1.",X40_9_1.jpg,X40_9_2.jpg,N
28,1,X21,9,,,,,,,3,1,,4,,There is an interphone on number 3.,X21_9_1.jpg,X21_9_2.jpg,N
28,2,X21,9,,,,,,,3,1,,4,,There is an interphone on number 3.,X21_9_1.jpg,X21_9_2.jpg,N
28,3,X21,9,,,,,,,3,1,,4,,There is an interphone on number 3.,X21_9_1.jpg,X21_9_2.jpg,N
